〇,零
一,壹
二,貮
三,參
四,肆
五,伍
六,陸
七,漆
八,捌
九,玖
十,拾
百,佰
千,仟
万,萬
亜,亞
悪,惡
芦,蘆
鯵,鰺
圧,壓
庵,菴
囲,圍
為,爲
医,醫
育,毓
一,弌
壱,壹
稲,稻
因,囙
飲,飮
淫,婬
隠,隱
陰,阴
卯,夘
丑,丒
鬱,欝
厩,廐
叡,睿
営,營
映,暎
曳,曵
栄,榮
穎,頴
英,偀
衛,衞
詠,咏
駅,驛
円,圓
堰,椻
煙,烟
艶,艷
鉛,鈆
塩,鹽
奥,奧
往,徃
応,應
横,橫
欧,歐
殴,毆
鴬,鶯
岡,堽
沖,冲
穏,穩
仮,假
価,價
嘩,譁
蚊,蚉
峨,峩
画,畫
会,會
解,觧
回,囘
壊,壞
廻,廽
怪,恠
懐,懷
界,畍
絵,繪
蟹,蠏
崖,崕
碍,礙
蓋,盖
柿,柹
蛎,蠣
鈎,鉤
拡,擴
撹,攪
殻,殼
覚,覺
赫,爀
学,學
岳,嶽
楽,樂
竃,竈
釜,釡
柏,栢
粥,鬻
勧,勸
巻,卷
寛,寬
歓,歡
潅,灌
缶,罐
観,觀
諌,諫
鑑,鑒
間,閒
関,關
陥,陷
館,舘
巌,巖
雁,鴈
顔,顏
喜,憙
器,噐
奇,竒
期,朞
棋,棊
棄,弃
帰,歸
気,氣
亀,龜
偽,僞
宜,冝
戯,戲
犠,犧
却,卻
糾,糺
旧,舊
拠,據
挙,擧
京,亰
協,恊
峡,峽
挟,挾
教,敎
況,况
狭,狹
郷,鄕
暁,曉
欣,惞
区,區
駆,驅
桑,桒
勲,勳
薫,薰
群,羣
径,徑
恵,惠
憩,憇
携,攜
渓,溪
経,經
継,繼
繋,繫
茎,莖
荊,荆
蛍,螢
軽,輕
頚,頸
鶏,鷄
芸,藝
欠,缺
決,决
倹,儉
剣,劍
圏,圈
検,檢
権,權
献,獻
県,縣
険,險
顕,顯
験,驗
厳,嚴
虎,乕
鼓,皷
効,效
広,廣
恒,恆
晃,晄
稿,稾
耕,畊
鉱,鑛
砿,礦
高,髙
劫,刧
号,號
轟,軣
国,國
黒,黑
嵯,嵳
済,濟
砕,碎
斎,齋
剤,劑
財,戝
冴,冱
崎,嵜
埼,碕
桜,櫻
冊,册
雑,雜
皐,皋
参,參
惨,慘
桟,棧
蚕,蠶
讃,讚
賛,贊
餐,湌
残,殘
糸,絲
紙,帋
歯,齒
事,亊
児,兒
辞,辭
湿,濕
質,貭
実,實
篠,筱
蕊,蘂
舎,舍
写,冩
釈,釋
呪,咒
寿,壽
収,收
讐,讎
従,從
渋,澁
獣,獸
縦,縱
粛,肅
